"Country";"value_2010";"value_2011";"value_2012";"value_2013";"value_2014";"value_2015";"value_2016";"value_2017";"value_2018";"value_2019";"value_2020";"value_2021"
"Mayotte";0.90448;0.90055;0.89553;0.89168;0.88622;0.88149;0.87624;0.87151;0.86705;0.86184;0.8576;0.8529
"Mexico";0.70077;0.69863;0.69613;0.69371;0.69118;0.68867;0.68673;0.68418;0.68244;0.67947;0.67741;0.67509
"Micronesia (Federated States of)";0.69118;0.68698;0.68323;0.67888;0.67479;0.67068;0.66624;0.66181;0.6564;0.65475;0.65067;0.64624
"Micronesia (Federated States of)";0.69118;0.68698;0.68323;0.67888;0.67479;0.67068;0.66624;0.66181;0.6564;0.65475;0.65067;0.64624
"Monaco";0.7564;0.7564;0.75548;0.7552;0.75453;0.75362;0.7527;0.75208;0.75147;0.75086;0.75025;0.74952
"Mongolia";0.95964;0.95939;0.9591;0.95892;0.95872;0.95851;0.95829;0.95807;0.95787;0.95766;0.95758;0.95735
"Montenegro";0.82841;0.8263;0.82357;0.82111;0.81781;0.81603;0.81357;0.81007;0.80796;0.80535;0.80278;0.79979
"Montserrat";0.82166;0.82034;0.819;0.81825;0.81702;0.81555;0.81467;0.8136;0.81259;0.81125;0.81055;0.80933
"Morocco";0.8923;0.89168;0.89109;0.89025;0.88956;0.88873;0.88805;0.88701;0.88632;0.8857;0.88504;0.88405
"Mozambique";0.82467;0.82191;0.81886;0.81584;0.81217;0.81006;0.80642;0.80261;0.79968;0.79665;0.79328;0.78938
"Myanmar";0.82625;0.82307;0.8208;0.81724;0.81485;0.81168;0.8085;0.80567;0.80287;0.80077;0.79779;0.79473
"Namibia";0.9701;0.96993;0.96981;0.96974;0.96967;0.9696;0.96953;0.96953;0.96952;0.96952;0.96953;0.96953
"Nauru";0.80526;0.80047;0.79712;0.794;0.7894;0.78716;0.78219;0.78043;0.77685;0.77318;0.77106;0.76504
"Nauru";0.80526;0.80047;0.79712;0.794;0.7894;0.78716;0.78219;0.78043;0.77685;0.77318;0.77106;0.76504
"Nepal";0.8346;0.83433;0.83447;0.83468;0.8345;0.8345;0.83457;0.83477;0.83457;0.8348;0.8348;0.83471
"Nepal";0.8346;0.83433;0.83447;0.83468;0.8345;0.8345;0.83457;0.83477;0.83457;0.8348;0.8348;0.83471
"Netherlands";0.9533;0.9522;0.95066;0.94949;0.94768;0.94663;0.94449;0.9431;0.94182;0.94029;0.9391;0.93778
"New Caledonia";0.66961;0.66595;0.66348;0.6599;0.65766;0.65305;0.65097;0.64694;0.64453;0.64073;0.6382;0.63611
"New Caledonia";0.66961;0.66595;0.66348;0.6599;0.65766;0.65305;0.65097;0.64694;0.64453;0.64073;0.6382;0.63611
"New Zealand";0.66955;0.6643;0.6603;0.65542;0.65035;0.64592;0.64093;0.63627;0.6322;0.62721;0.62187;0.61745
"Nicaragua";0.83499;0.83352;0.83215;0.83095;0.82914;0.82816;0.82671;0.82496;0.82386;0.82227;0.82093;0.81959
"Niger";0.94251;0.94114;0.94058;0.93926;0.93803;0.93733;0.9366;0.93606;0.93508;0.9344;0.93335;0.93254
"Nigeria";0.85316;0.85294;0.85278;0.85267;0.85267;0.85265;0.85246;0.8524;0.85239;0.85237;0.8523;0.85228
"Niue";0.83554;0.83319;0.8315;0.82939;0.8272;0.82438;0.82245;0.82093;0.81733;0.81495;0.81376;0.81092
"Niue";0.83554;0.83319;0.8315;0.82939;0.8272;0.82438;0.82245;0.82093;0.81733;0.81495;0.81376;0.81092
"Norfolk Island";0.73657;0.73399;0.72988;0.72734;0.72325;0.719;0.7172;0.71294;0.71063;0.70461;0.7041;0.69911
"North Macedonia";0.96929;0.9693;0.9693;0.9693;0.96931;0.9693;0.9693;0.96929;0.96929;0.96929;0.96929;0.96928
"Northern Mariana Islands";0.58785;0.58392;0.58103;0.57684;0.57374;0.56998;0.56652;0.56308;0.5607;0.5567;0.55539;0.55029
"Northern Mariana Islands";0.58785;0.58392;0.58103;0.57684;0.57374;0.56998;0.56652;0.56308;0.5607;0.5567;0.55539;0.55029
"Norway";0.95404;0.95369;0.95257;0.95132;0.95003;0.9488;0.94818;0.94789;0.94764;0.94752;0.94744;0.94741
"Oman";0.90944;0.90727;0.90457;0.90221;0.89942;0.89769;0.89592;0.89291;0.89141;0.88741;0.88632;0.88364
"Pakistan";0.89799;0.89371;0.88893;0.88488;0.88112;0.87684;0.87261;0.86865;0.86472;0.86065;0.8557;0.85245
"Pakistan";0.89799;0.89371;0.88893;0.88488;0.88112;0.87684;0.87261;0.86865;0.86472;0.86065;0.8557;0.85245
"Palau";0.78799;0.77937;0.76966;0.76024;0.75012;0.74229;0.73298;0.7233;0.71338;0.70606;0.69796;0.68543
"Palau";0.78799;0.77937;0.76966;0.76024;0.75012;0.74229;0.73298;0.7233;0.71338;0.70606;0.69796;0.68543
"Panama";0.73961;0.73844;0.7376;0.7364;0.73552;0.73492;0.73371;0.73277;0.73149;0.73094;0.7299;0.7287
"Papua New Guinea";0.86689;0.86431;0.86059;0.85766;0.85383;0.85105;0.84764;0.84491;0.84069;0.83749;0.83554;0.83153
"Papua New Guinea";0.86689;0.86431;0.86059;0.85766;0.85383;0.85105;0.84764;0.84491;0.84069;0.83749;0.83554;0.83153
"Paraguay";0.95489;0.95484;0.95452;0.95447;0.95425;0.95414;0.95399;0.95392;0.95377;0.95358;0.95348;0.95342
"Peru";0.73202;0.73172;0.73088;0.73055;0.73025;0.73028;0.73022;0.7301;0.73002;0.73005;0.7299;0.7298
"Philippines";0.7142;0.71081;0.70688;0.70237;0.6991;0.69498;0.69144;0.6877;0.68353;0.67926;0.67606;0.67107
"Pitcairn";0.7692;0.76439;0.75934;0.7554;0.75025;0.74596;0.7412;0.73689;0.73112;0.72752;0.72455;0.71916
"Pitcairn";0.7692;0.76439;0.75934;0.7554;0.75025;0.74596;0.7412;0.73689;0.73112;0.72752;0.72455;0.71916
"Poland";0.96066;0.9617;0.9629;0.96415;0.9653;0.96653;0.96739;0.96887;0.97016;0.97088;0.97241;0.97318
"Portugal";0.86954;0.87005;0.87039;0.86999;0.86941;0.86874;0.86802;0.86686;0.86632;0.86568;0.86484;0.86369
"Puerto Rico";0.70503;0.70183;0.69962;0.69746;0.69441;0.69228;0.69014;0.68706;0.68418;0.68199;0.67947;0.67625
"Qatar";0.86374;0.8602;0.8552;0.85175;0.84752;0.84346;0.83901;0.83433;0.83089;0.82614;0.82322;0.81936
"Republic of Korea";0.72791;0.72572;0.72245;0.7196;0.71657;0.71351;0.71017;0.70752;0.70478;0.70155;0.699;0.69661
"Republic of Moldova";0.94295;0.94318;0.94345;0.94373;0.94393;0.94421;0.9445;0.94464;0.94497;0.94526;0.94541;0.94564
"Réunion";0.62994;0.62797;0.61905;0.61169;0.60467;0.59849;0.59115;0.58461;0.58073;0.57469;0.56615;0.56142
"Romania";0.8641;0.86418;0.86425;0.8643;0.86435;0.86439;0.86443;0.86447;0.8645;0.86455;0.86456;0.8646
"Russian Federation";0.95332;0.95309;0.95283;0.95268;0.95249;0.95242;0.95217;0.95213;0.952;0.95195;0.95189;0.95176
"Rwanda";0.88335;0.88334;0.88332;0.88331;0.8833;0.88329;0.88328;0.88328;0.88327;0.88327;0.88326;0.88326
"Saint Barthélemy";0.98795;0.98817;0.98846;0.98887;0.98916;0.98949;0.98978;0.99018;0.99047;0.99081;0.99109;0.99134
"Saint Helena";0.65636;0.6565;0.65734;0.65748;0.65782;0.65816;0.65848;0.65897;0.65968;0.65974;0.66029;0.66062
"Saint Kitts and Nevis";0.74563;0.74467;0.74355;0.74215;0.74128;0.74003;0.73923;0.73778;0.73707;0.73553;0.73479;0.7336
"Saint Lucia";0.82833;0.82657;0.82437;0.82167;0.81956;0.81768;0.81602;0.81329;0.81145;0.80897;0.8073;0.80512
"Saint Martin (French Part)";0.94712;0.94636;0.94432;0.94305;0.94165;0.93995;0.93854;0.93706;0.93621;0.93417;0.9334;0.93206
"Saint Pierre and Miquelon";0.54409;0.54379;0.54335;0.54273;0.5424;0.5418;0.54167;0.54123;0.54093;0.54124;0.54056;0.54037
"Saint Vincent and the Grenadines";0.76712;0.76612;0.76498;0.76406;0.76272;0.76178;0.76066;0.75944;0.75836;0.75735;0.75597;0.75503
"Samoa";0.77483;0.77312;0.77333;0.77143;0.76956;0.76898;0.76692;0.76534;0.7632;0.76391;0.76168;0.76108
"Samoa";0.77483;0.77312;0.77333;0.77143;0.76956;0.76898;0.76692;0.76534;0.7632;0.76391;0.76168;0.76108
"San Marino";0.98465;0.98476;0.98484;0.98488;0.9849;0.98492;0.98494;0.98495;0.98497;0.98498;0.985;0.98501
"Sao Tome and Principe";0.78852;0.78828;0.78811;0.78748;0.78726;0.78687;0.78661;0.78587;0.78591;0.78563;0.78545;0.78511
"Saudi Arabia";0.9275;0.92456;0.92272;0.92063;0.91817;0.9158;0.91347;0.91122;0.90812;0.90623;0.90441;0.90171
"Senegal";0.94409;0.94329;0.94256;0.94183;0.94114;0.94035;0.93985;0.93922;0.93829;0.9376;0.93694;0.93626
"Serbia";0.95119;0.95124;0.95127;0.95131;0.95134;0.95137;0.9514;0.95142;0.95145;0.95148;0.95152;0.95155
"Seychelles";0.70437;0.70118;0.69928;0.69596;0.69421;0.68933;0.6847;0.68155;0.67777;0.67354;0.66875;0.66665
"Sierra Leone";0.92925;0.92933;0.92939;0.92944;0.92953;0.92957;0.92954;0.92969;0.92967;0.9297;0.92972;0.92975
"Singapore";0.88642;0.88227;0.87796;0.87721;0.86976;0.86632;0.86367;0.85945;0.85579;0.84951;0.84584;0.84525
"Sint Maarten (Dutch part)";0.98896;0.98933;0.98955;0.98993;0.99016;0.99041;0.99084;0.99102;0.99147;0.99167;0.99203;0.99233
"Slovakia";0.9516;0.95166;0.95173;0.95181;0.95186;0.95193;0.95199;0.95204;0.9521;0.95217;0.95222;0.95228
"Slovenia";0.92961;0.92945;0.92934;0.92911;0.92897;0.92886;0.92868;0.92858;0.92834;0.9282;0.92805;0.92797
"Solomon Islands";0.7912;0.78794;0.78379;0.78108;0.7774;0.77372;0.77089;0.76828;0.76382;0.76081;0.75773;0.75445
"Solomon Islands";0.7912;0.78794;0.78379;0.78108;0.7774;0.77372;0.77089;0.76828;0.76382;0.76081;0.75773;0.75445
"Somalia";0.92797;0.92494;0.92212;0.91932;0.91652;0.91344;0.91017;0.90812;0.90545;0.90228;0.90016;0.89561
"South Africa";0.79631;0.79368;0.79141;0.78879;0.78656;0.7845;0.78223;0.78073;0.77754;0.775;0.77192;0.77008
"South Georgia and the South Sandwich Islands";0.89643;0.89704;0.89745;0.89824;0.89853;0.89862;0.89899;0.89916;0.89967;0.89955;0.89983;0.90001
"South Sudan";0.93177;0.9314;0.93109;0.93083;0.93046;0.93023;0.92995;0.92973;0.92951;0.92922;0.92901;0.92866
"Spain";0.84849;0.8485;0.8485;0.8484;0.84825;0.84812;0.8479;0.84769;0.84731;0.84686;0.84661;0.84621
"Sri Lanka";0.60549;0.60091;0.59781;0.59539;0.59092;0.58798;0.58435;0.58044;0.57838;0.57267;0.5702;0.5662
"Sri Lanka";0.60549;0.60091;0.59781;0.59539;0.59092;0.58798;0.58435;0.58044;0.57838;0.57267;0.5702;0.5662
"State of Palestine";0.89724;0.89723;0.89722;0.89721;0.89721;0.8972;0.8972;0.89719;0.89719;0.89718;0.89718;0.89718
"Sudan";0.94605;0.9432;0.94065;0.93862;0.93583;0.93331;0.93071;0.92859;0.92662;0.92411;0.92101;0.91872
"Suriname";0.98841;0.98776;0.98743;0.98727;0.98705;0.98697;0.98697;0.98685;0.98686;0.98676;0.98669;0.98661
"Svalbard and Jan Mayen Islands";0.86556;0.86491;0.86348;0.8605;0.85679;0.85296;0.85125;0.84918;0.8491;0.8497;0.84981;0.8501
"Sweden";0.99276;0.99271;0.99269;0.99259;0.99248;0.99239;0.9923;0.99229;0.99229;0.99229;0.9923;0.9923
"Switzerland";0.97259;0.97257;0.97258;0.97257;0.97258;0.97258;0.97256;0.97257;0.97257;0.97259;0.97257;0.97257
"Syrian Arab Republic";0.94188;0.94182;0.94174;0.9417;0.94165;0.94159;0.94156;0.94152;0.94144;0.94142;0.94135;0.94131
"Tajikistan";0.98776;0.98774;0.98772;0.9877;0.98768;0.98766;0.98764;0.98763;0.98763;0.98761;0.9876;0.98758
"Thailand";0.80572;0.80314;0.80003;0.79753;0.79404;0.79067;0.78802;0.78436;0.78148;0.77794;0.77597;0.77268
"Timor-Leste";0.88411;0.88202;0.87695;0.87403;0.87104;0.86726;0.86299;0.86037;0.85585;0.85189;0.84927;0.84565
"Togo";0.85808;0.85814;0.85816;0.85813;0.85816;0.85815;0.85814;0.85814;0.85813;0.85814;0.85817;0.85814
"Tokelau";0.87297;0.86967;0.86658;0.86385;0.86232;0.85848;0.85589;0.85434;0.85136;0.84878;0.84737;0.84432
"Tokelau";0.87297;0.86967;0.86658;0.86385;0.86232;0.85848;0.85589;0.85434;0.85136;0.84878;0.84737;0.84432
"Tonga";0.74411;0.74236;0.73986;0.73746;0.73549;0.73367;0.73189;0.7295;0.72734;0.72665;0.72484;0.72275
"Tonga";0.74411;0.74236;0.73986;0.73746;0.73549;0.73367;0.73189;0.7295;0.72734;0.72665;0.72484;0.72275
"Trinidad and Tobago";0.81933;0.81779;0.81681;0.81491;0.81338;0.81191;0.81056;0.80847;0.80707;0.80598;0.80428;0.80264
"Tunisia";0.97166;0.97196;0.97215;0.97202;0.97199;0.97205;0.97197;0.97196;0.9717;0.97147;0.97105;0.97124
"Turkey";0.88457;0.88438;0.88401;0.88363;0.88333;0.8831;0.88257;0.88213;0.88198;0.88161;0.88095;0.88074
"Turkmenistan";0.97861;0.97847;0.97836;0.97826;0.97814;0.97804;0.97796;0.97785;0.97776;0.97768;0.9776;0.9775
"Turks and Caicos Islands";0.85942;0.85849;0.8573;0.85661;0.85469;0.85343;0.85206;0.85087;0.8497;0.84829;0.84734;0.84611
"Tuvalu";0.86653;0.86231;0.85905;0.85465;0.8514;0.84846;0.8448;0.84053;0.83715;0.8332;0.82885;0.8266
"Tuvalu";0.86653;0.86231;0.85905;0.85465;0.8514;0.84846;0.8448;0.84053;0.83715;0.8332;0.82885;0.8266
"Uganda";0.7817;0.77838;0.77515;0.77201;0.76962;0.76674;0.7642;0.76099;0.75812;0.75512;0.75171;0.74935
"Ukraine";0.93397;0.93425;0.93447;0.93468;0.9349;0.93519;0.93528;0.93553;0.93564;0.93581;0.93597;0.9362
"United Arab Emirates";0.87942;0.87655;0.8747;0.87146;0.86854;0.86556;0.86211;0.85955;0.85689;0.85409;0.85237;0.8493
"United Kingdom of Great Britain and Northern Ireland";0.96355;0.96344;0.96315;0.96274;0.96241;0.96202;0.96189;0.96171;0.96168;0.96166;0.96174;0.96172
"United Republic of Tanzania";0.73362;0.73004;0.7261;0.72211;0.71895;0.71523;0.71146;0.70739;0.70344;0.6994;0.69639;0.69195
"United States Minor Outlying Islands";0.73774;0.73722;0.73753;0.73717;0.73676;0.73588;0.73498;0.73475;0.73472;0.73443;0.73363;0.73292
"United States Minor Outlying Islands";0.73774;0.73722;0.73753;0.73717;0.73676;0.73588;0.73498;0.73475;0.73472;0.73443;0.73363;0.73292
"United States of America";0.83934;0.8389;0.83823;0.83736;0.83689;0.83627;0.83539;0.8346;0.83389;0.83346;0.83273;0.83182
"United States Virgin Islands";0.83091;0.8307;0.83063;0.83052;0.8303;0.83022;0.83002;0.8299;0.82978;0.8297;0.82954;0.82934
"Uruguay";0.85897;0.85858;0.85788;0.85742;0.85735;0.85671;0.85612;0.85584;0.8556;0.85469;0.85433;0.85412
"Uzbekistan";0.97525;0.97475;0.97428;0.97398;0.97352;0.9733;0.97258;0.97237;0.97196;0.97163;0.97117;0.97087
"Vanuatu";0.70145;0.69813;0.69499;0.69164;0.68882;0.68588;0.68281;0.67916;0.67691;0.67299;0.67058;0.66738
"Vanuatu";0.70145;0.69813;0.69499;0.69164;0.68882;0.68588;0.68281;0.67916;0.67691;0.67299;0.67058;0.66738
"Venezuela (Bolivarian Republic of)";0.83568;0.83457;0.83303;0.83157;0.83053;0.82917;0.82805;0.82703;0.82542;0.82402;0.82251;0.82146
"Viet Nam";0.75707;0.75298;0.74936;0.74537;0.7416;0.73877;0.73488;0.73007;0.72665;0.72304;0.7199;0.71588
"Wallis and Futuna Islands";0.88292;0.87964;0.87702;0.87422;0.87094;0.86687;0.86447;0.86226;0.85898;0.85505;0.85215;0.84953
"Wallis and Futuna Islands";0.88292;0.87964;0.87702;0.87422;0.87094;0.86687;0.86447;0.86226;0.85898;0.85505;0.85215;0.84953
"Western Sahara";0.93768;0.93765;0.93747;0.93722;0.93693;0.93671;0.9364;0.93626;0.93592;0.93558;0.93537;0.93521
"Yemen";0.86718;0.86489;0.86194;0.85934;0.85648;0.85307;0.85083;0.84769;0.84523;0.84154;0.84075;0.83738
"Zambia";0.87632;0.87636;0.87631;0.8763;0.87623;0.87633;0.87634;0.87638;0.87642;0.8764;0.87638;0.87636
"Zimbabwe";0.79612;0.79552;0.79509;0.79463;0.79419;0.79376;0.79335;0.79304;0.79264;0.79229;0.79199;0.79161
"Afghanistan";0.83671;0.83662;0.83657;0.83651;0.83644;0.83639;0.83632;0.83623;0.83618;0.83613;0.83605;0.83602
"Afghanistan";0.83671;0.83662;0.83657;0.83651;0.83644;0.83639;0.83632;0.83623;0.83618;0.83613;0.83605;0.83602
"Åland Islands";0.99039;0.98997;0.98955;0.98896;0.98836;0.98777;0.98717;0.98717;0.98717;0.98717;0.98717;0.98717
"Albania";0.86343;0.86043;0.85846;0.85619;0.85337;0.85116;0.84864;0.84674;0.84299;0.84087;0.83833;0.8354
"Algeria";0.91081;0.91065;0.91056;0.91039;0.9103;0.91005;0.90996;0.9099;0.90977;0.90962;0.90949;0.90928
"American Samoa";0.86778;0.86738;0.86727;0.86713;0.86574;0.86517;0.86387;0.86434;0.8645;0.86354;0.8629;0.86251
"American Samoa";0.86778;0.86738;0.86727;0.86713;0.86574;0.86517;0.86387;0.86434;0.8645;0.86354;0.8629;0.86251
"Andorra";0.91174;0.91172;0.91167;0.91163;0.91159;0.9115;0.91133;0.91117;0.9109;0.91067;0.91043;0.91016
"Angola";0.92864;0.92866;0.92861;0.92858;0.92863;0.92854;0.92856;0.92853;0.92851;0.92858;0.92852;0.92849
